"feature","coefficient","odds_ratio","OR_95CI_lower","OR_95CI_upper","p_value"
"(Intercept)",-6.11191137634933,0.00221631055814439,7.73435876889463e-06,0.635092402216597,0.0342371187219849
"age",-0.0148394829371689,0.98527007956991,0.938619895445055,1.03423881637988,0.548749882062917
"sex1",1.57225386305181,4.81749393836238,1.70822257038457,13.5861966985564,0.00295637571924702
"cp2",1.16162027572831,3.19510603709627,0.715713090022786,14.2636801402696,0.128056424996546
"cp3",0.240127782902577,1.27141160460695,0.349304812469082,4.62772744784986,0.715635506696903
"cp4",2.15551503079659,8.63233495261989,2.35162204752793,31.6875778625042,0.00115880900699857
"trestbps",0.0242174259472816,1.02451304939621,1.0021895124591,1.0473338378962,0.0311943740148586
"chol",0.00443340767274483,1.00444324976383,0.996584209323923,1.01236426641816,0.26862741753798
"fbs1",-0.393377033942329,0.674774286809435,0.217015506098341,2.09810048288832,0.496716269420644
"restecg1",0.834018869244411,2.30255383330285,0.0171885176108955,308.44743422766,0.738548879632849
"restecg2",0.473741394297029,1.60599161473046,0.762975871507525,3.38045954387577,0.212186661643949
"thalach",-0.0169203480371043,0.983221997078028,0.962079390999773,1.00482923195507,0.127104290830984
"exang1",0.778354852300301,2.17788637188974,0.924864309987586,5.12852425771163,0.0748715005203615
"oldpeak",0.367566744408419,1.44421618866791,0.919198459131995,2.26910780679511,0.110822172932155
"slope2",1.15436461703507,3.17200733767705,1.27130199468836,7.9144299248453,0.0133397386513238
"slope3",0.496063536574882,1.64224389705633,0.266941328717954,10.1032126811219,0.592534947137299
"ca",1.29580086925944,3.65392111575494,2.12149275334339,6.29327604306871,2.99103498706414e-06
"thal6",-0.104455022383809,0.900815313021137,0.193378202915118,4.19627556746691,0.894146567755953
"thal7",1.3085427870319,3.70077696087775,1.62894381197177,8.40774863657538,0.00177558723232565
