"Feature","Gain","Cover","Frequency"
"cp4",0.262879129751915,0.168399321575119,0.0808080808080808
"ca",0.151696919497923,0.147167600269459,0.106060606060606
"thal7",0.115177717886379,0.0769850001102164,0.0303030303030303
"oldpeak",0.097402213605576,0.104696881157339,0.116161616161616
"exang1",0.0660002316062414,0.0635635855947188,0.0404040404040404
"thalach",0.056322660317106,0.0835196221292528,0.136363636363636
"age",0.0559700425550315,0.087197910174191,0.116161616161616
"slope2",0.0535276293661968,0.0528962016409615,0.0606060606060606
"trestbps",0.0467993951066766,0.105879052420973,0.131313131313131
"chol",0.0428192169484831,0.0464374660258087,0.0808080808080808
"sex0",0.0398400654117806,0.045772304669973,0.0656565656565657
"restecg2",0.00994752597010926,0.00827389319661514,0.0202020202020202
"thal6",0.000878301152765118,0.00498468596654971,0.00505050505050505
"cp2",0.000627684473332113,0.00101944453942485,0.00505050505050505
"fbs1",0.000111266350484621,0.00320703052939889,0.00505050505050505
